"_time","sum(counts)","_span"
1616167200,3578262,600
1616167800,3479555,600
1616168400,3585658,600
1616169000,3497671,600
1616169600,3503839,600
1616170200,4024373,600
1616170800,4309408,600
1616171400,3903687,600
1616172000,3733892,600
1616172600,3533252,600
1616173200,3665780,600
1616173800,3586411,600
1616174400,3688402,600
1616175000,3380528,600
1616175600,3264480,600
1616176200,3568474,600
1616176800,3505442,600
1616177400,3503579,600
1616178000,3945153,600
1616178600,3734256,600
1616179200,3401936,600
1616179800,3304892,600
1616180400,3487573,600
1616181000,3330987,600
1616181600,3150752,600
1616182200,3086456,600
1616182800,2907762,600
1616183400,3136202,600
1616184000,3160401,600
1616184600,3085038,600
1616185200,3052852,600
1616185800,3119377,600
1616186400,3130436,600
1616187000,3199923,600
1616187600,3208105,600
1616188200,3037370,600
1616188800,3104027,600
1616189400,2995486,600
1616190000,3047988,600
1616190600,3130662,600
1616191200,3459014,600
1616191800,3177988,600
1616192400,3121796,600
1616193000,3099304,600
1616193600,3085660,600
1616194200,3407176,600
1616194800,3243011,600
1616195400,3529467,600
1616196000,3404926,600
1616196600,3366282,600
1616197200,4153998,600
1616197800,4181398,600
1616198400,3705935,600
1616199000,3673992,600
1616199600,3598087,600
1616200200,3675822,600
1616200800,3588511,600
1616201400,3514311,600
1616202000,3558929,600
1616202600,3511965,600
1616203200,3576362,600
1616203800,3567022,600
1616204400,5865313,600
1616205000,3219195,600
1616205600,3536589,600
1616206200,3601744,600
1616206800,3719703,600
1616207400,3596482,600
1616208000,3799630,600
1616208600,3839196,600
1616209200,3689630,600
1616209800,3879694,600
1616210400,4018889,600
1616211000,3970250,600
1616211600,3865479,600
1616212200,3981232,600
1616212800,4214242,600
1616213400,4056461,600
1616214000,3996625,600
1616214600,4087270,600
1616215200,4004572,600
1616215800,4122428,600
1616216400,4099842,600
1616217000,3823066,600
1616217600,3776218,600
1616218200,5415444,600
1616218800,3643562,600
1616219400,4031222,600
1616220000,4078466,600
1616220600,4719151,600
1616221200,4192675,600
1616221800,4174852,600
1616222400,3977643,600
1616223000,4217435,600
1616223600,4137957,600
1616224200,4247713,600
1616224800,4215241,600
1616225400,4043186,600
1616226000,4026391,600
1616226600,3902519,600
1616227200,3914533,600
1616227800,3898592,600
1616228400,3836295,600
1616229000,3833787,600
1616229600,3746632,600
1616230200,3800593,600
1616230800,3726707,600
1616231400,3772403,600
1616232000,3769297,600
1616232600,3462678,600
1616233200,3083922,600
1616233800,3255733,600
1616234400,3585847,600
1616235000,3703535,600
1616235600,3619815,600
1616236200,3569899,600
1616236800,3576964,600
1616237400,3703124,600
1616238000,3741072,600
1616238600,3581659,600
1616239200,3590553,600
1616239800,3697271,600
1616240400,3610651,600
1616241000,4346913,600
1616241600,3511873,600
1616242200,3491765,600
1616242800,6218837,600
1616243400,3540587,600
1616244000,3622706,600
1616244600,3655452,600
1616245200,3625503,600
1616245800,3661784,600
1616246400,4143834,600
1616247000,3603310,600
1616247600,3652780,600
1616248200,3184253,600
1616248800,3499858,600
1616249400,5157282,600
1616250000,3518859,600
1616250600,3499013,600
1616251200,3649223,600
1616251800,3560582,600
