"_time","sum(counts)","_span"
1614697800,5626402,600
1614698400,5224541,600
1614699000,5048304,600
1614699600,4926886,600
1614700200,4995074,600
1614700800,5408214,600
1614701400,5434226,600
1614702000,6130247,600
1614702600,5130571,600
1614703200,5179435,600
1614703800,5247782,600
1614704400,5206284,600
1614705000,4703960,600
1614705600,4732858,600
1614706200,5398029,600
1614706800,5211062,600
1614707400,4552869,600
1614708000,4720133,600
1614708600,4773917,600
1614709200,4811736,600
1614709800,4889341,600
1614710400,4834508,600
1614711000,4885439,600
1614711600,4542598,600
1614712200,4538233,600
1614712800,4658746,600
1614713400,4686946,600
1614714000,5660630,600
1614714600,5131354,600
1614715200,4596479,600
1614715800,5017183,600
1614716400,5391187,600
1614717000,5535927,600
1614717600,5111654,600
1614718200,4842235,600
1614718800,4645020,600
1614719400,5038546,600
1614720000,4431029,600
1614720600,4458296,600
1614721200,4415579,600
1614721800,4650423,600
1614722400,5177212,600
1614723000,5000082,600
1614723600,6344193,600
1614724200,5876438,600
1614724800,5118979,600
1614725400,4841665,600
1614726000,5433461,600
1614726600,6429797,600
1614727200,6893185,600
1614727800,6890080,600
1614728400,6213433,600
1614729000,6649965,600
1614729600,7023576,600
1614730200,7818210,600
1614730800,7942729,600
1614731400,7015697,600
1614732000,7320827,600
1614732600,7067965,600
1614733200,7105695,600
1614733800,7161343,600
1614734400,7424189,600
1614735000,7998737,600
1614735600,7639368,600
1614736200,8574261,600
1614736800,9183660,600
1614737400,8182885,600
1614738000,8717930,600
1614738600,8153968,600
1614739200,7927921,600
1614739800,8064998,600
1614740400,7946774,600
1614741000,8033412,600
1614741600,8898044,600
1614742200,8943042,600
1614742800,8780205,600
1614743400,9052382,600
1614744000,8867049,600
1614744600,8844851,600
1614745200,8653337,600
1614745800,9026687,600
1614746400,9076193,600
1614747000,9203320,600
1614747600,9184596,600
1614748200,8279080,600
1614748800,9642434,600
1614749400,10168886,600
1614750000,8820620,600
1614750600,9097928,600
1614751200,8913809,600
1614751800,8878738,600
1614752400,9086392,600
1614753000,8447044,600
1614753600,8805424,600
1614754200,8752564,600
1614754800,9026966,600
1614755400,8800433,600
1614756000,8872928,600
1614756600,8814619,600
1614757200,8832366,600
1614757800,8665062,600
1614758400,8718932,600
1614759000,8464295,600
1614759600,8300552,600
1614760200,8160609,600
1614760800,8000028,600
1614761400,7814467,600
1614762000,7403164,600
1614762600,6951979,600
1614763200,7835445,600
1614763800,7073114,600
1614764400,6799698,600
1614765000,6307246,600
1614765600,6432229,600
1614766200,6278759,600
1614766800,6369272,600
1614767400,6070536,600
1614768000,6007471,600
1614768600,5938093,600
1614769200,6144967,600
1614769800,5010288,600
1614770400,5813542,600
1614771000,6015336,600
1614771600,5765713,600
1614772200,5838771,600
1614772800,5846947,600
1614773400,6358399,600
1614774000,6398723,600
1614774600,5973700,600
1614775200,5839934,600
1614775800,6562701,600
1614776400,5731375,600
1614777000,5596232,600
1614777600,5435687,600
1614778200,5958128,600
1614778800,5155577,600
1614779400,5202059,600
1614780000,5557167,600
1614780600,5470152,600
1614781200,5272011,600
1614781800,5394410,600
1614782400,5186381,600
1614783000,5090698,600
1614783600,3069308,600
1614784200,2996032,600
1614784800,3096070,600
1614785400,3590958,600
1614786000,3430345,600
1614786600,3476428,600
1614787200,3382714,600
1614787800,3071073,600
1614788400,2857668,600
1614789000,2950657,600
1614789600,3297605,600
1614790200,3141229,600
1614790800,2939215,600
1614791400,2882477,600
1614792000,2880426,600
1614792600,2933745,600
1614793200,2891550,600
1614793800,3075043,600
1614794400,2867596,600
1614795000,3058759,600
1614795600,2820539,600
1614796200,2982064,600
1614796800,3153558,600
1614797400,3739461,600
1614798000,3459995,600
1614798600,2940531,600
1614799200,2708233,600
1614799800,2853436,600
1614800400,2808198,600
1614801000,2703170,600
1614801600,2855390,600
1614802200,3148260,600
1614802800,2953011,600
1614803400,2587046,600
1614804000,2705864,600
1614804600,2909458,600
1614805200,2819800,600
1614805800,2665912,600
1614806400,2849616,600
1614807000,3155992,600
1614807600,2837129,600
1614808200,3150678,600
1614808800,2925320,600
1614809400,2863982,600
1614810000,3241681,600
1614810600,3047217,600
1614811200,3397514,600
1614811800,3454777,600
1614812400,3269558,600
1614813000,3463448,600
1614813600,3415007,600
1614814200,3981911,600
1614814800,3932248,600
1614815400,4043853,600
1614816000,4115929,600
1614816600,4165508,600
1614817200,4184237,600
1614817800,4333095,600
1614818400,4765303,600
1614819000,4485090,600
1614819600,4474860,600
1614820200,4455777,600
1614820800,3895261,600
1614821400,4295266,600
1614822000,4331566,600
1614822600,4463677,600
1614823200,4621122,600
1614823800,4346719,600
1614824400,4310266,600
1614825000,4419508,600
1614825600,4393435,600
1614826200,4509841,600
1614826800,4981850,600
1614827400,5354147,600
1614828000,4681828,600
1614828600,5521281,600
1614829200,5693730,600
1614829800,5988042,600
1614830400,5533487,600
1614831000,5436472,600
1614831600,5328007,600
1614832200,4979405,600
1614832800,5195740,600
1614833400,5145435,600
1614834000,5003500,600
1614834600,5090222,600
1614835200,4623918,600
1614835800,5014674,600
1614836400,5141970,600
1614837000,5240924,600
1614837600,5078721,600
1614838200,4927771,600
1614838800,4926169,600
1614839400,5155638,600
1614840000,5116021,600
1614840600,5286524,600
1614841200,5204615,600
1614841800,5271884,600
1614842400,5088349,600
1614843000,5130323,600
1614843600,5210674,600
1614844200,5162168,600
1614844800,5239219,600
1614845400,4870918,600
1614846000,4860198,600
1614846600,4398494,600
1614847200,4240767,600
1614847800,4198309,600
1614848400,4110282,600
1614849000,4007546,600
1614849600,3440968,600
1614850200,3476938,600
1614850800,3865238,600
1614851400,4146113,600
1614852000,4484857,600
1614852600,4471580,600
1614853200,3975849,600
1614853800,3714377,600
1614854400,3551905,600
1614855000,3526266,600
1614855600,3645584,600
1614856200,3889393,600
1614856800,3626875,600
1614857400,3565968,600
1614858000,3074687,600
1614858600,2979179,600
1614859200,3145019,600
1614859800,3017061,600
1614860400,2973165,600
1614861000,2972685,600
1614861600,2966496,600
1614862200,2820764,600
1614862800,2818927,600
1614863400,2936218,600
1614864000,3076153,600
1614864600,2989394,600
1614865200,3290162,600
1614865800,3204108,600
1614866400,3091044,600
1614867000,3083127,600
1614867600,3029535,600
1614868200,2838516,600
1614868800,2956384,600
1614869400,2807695,600
1614870000,2630554,600
1614870600,3034837,600
1614871200,2884739,600
1614871800,2530636,600
1614872400,2701217,600
1614873000,2947216,600
1614873600,3569241,600
1614874200,3602218,600
1614874800,3092827,600
1614875400,3150146,600
1614876000,3050865,600
1614876600,3534103,600
1614877200,4124587,600
1614877800,3814743,600
1614878400,3707491,600
1614879000,3949423,600
1614879600,3625583,600
1614880200,3736127,600
1614880800,3628892,600
1614881400,3635125,600
1614882000,3949130,600
1614882600,4093035,600
1614883200,3758190,600
1614883800,3507834,600
1614884400,3362159,600
1614885000,3586925,600
1614885600,3666427,600
1614886200,3235819,600
1614886800,3529010,600
1614887400,4054681,600
1614888000,3857897,600
1614888600,3648337,600
1614889200,3659101,600
1614889800,3547393,600
1614890400,3205601,600
1614891000,3246969,600
1614891600,3077892,600
1614892200,3077152,600
1614892800,3512541,600
1614893400,3209677,600
1614894000,3145250,600
1614894600,3235237,600
1614895200,4407837,600
1614895800,5402921,600
1614896400,5296393,600
1614897000,5442743,600
1614897600,5525181,600
1614898200,5621391,600
1614898800,6220914,600
1614899400,6539465,600
1614900000,6641144,600
1614900600,5790224,600
1614901200,6346635,600
1614901800,7163352,600
1614902400,6895457,600
1614903000,6574688,600
1614903600,6362686,600
1614904200,5654962,600
1614904800,5134999,600
1614905400,6086049,600
1614906000,5719414,600
1614906600,5766334,600
1614907200,5617894,600
1614907800,4660334,600
1614908400,4522971,600
1614909000,4337323,600
1614909600,4502699,600
1614910200,4413427,600
1614910800,4801396,600
1614911400,4467596,600
1614912000,4391869,600
1614912600,4631205,600
1614913200,5021047,600
1614913800,4879006,600
1614914400,5362722,600
1614915000,5175312,600
1614915600,4773865,600
1614916200,4921415,600
1614916800,5014505,600
1614917400,4993136,600
1614918000,5232212,600
1614918600,5357814,600
1614919200,5348893,600
1614919800,5122137,600
1614920400,5292151,600
1614921000,4891277,600
1614921600,4856587,600
1614922200,4916141,600
1614922800,4445198,600
1614923400,4472284,600
1614924000,4504998,600
1614924600,4382083,600
1614925200,4233174,600
1614925800,4201038,600
1614926400,4304790,600
1614927000,4238147,600
1614927600,4204938,600
1614928200,4135236,600
1614928800,4276457,600
1614929400,4209782,600
1614930000,3939251,600
1614930600,4272870,600
1614931200,4055695,600
1614931800,4168299,600
1614932400,3880026,600
1614933000,3890680,600
1614933600,3907351,600
1614934200,3737142,600
1614934800,3686505,600
1614935400,3840212,600
1614936000,3413266,600
1614936600,3637958,600
1614937200,3357102,600
1614937800,3161601,600
1614938400,3233750,600
1614939000,3143904,600
1614939600,3056366,600
1614940200,3189317,600
1614940800,2956529,600
1614941400,3194199,600
1614942000,2915194,600
1614942600,2880184,600
1614943200,3051315,600
1614943800,2972124,600
1614944400,2621183,600
1614945000,3003555,600
1614945600,2949832,600
1614946200,2965140,600
1614946800,2862333,600
1614947400,2828218,600
1614948000,2874561,600
1614948600,2629809,600
1614949200,2746008,600
1614949800,2681941,600
1614950400,2816988,600
1614951000,2753159,600
1614951600,2569093,600
1614952200,2676625,600
1614952800,2670404,600
1614953400,2745451,600
1614954000,2551309,600
1614954600,2667054,600
1614955200,2567559,600
1614955800,2646472,600
1614956400,5104034,600
1614957000,4831287,600
1614957600,4389188,600
1614958200,4525875,600
1614958800,4761658,600
1614959400,4724210,600
1614960000,5092528,600
1614960600,4722699,600
1614961200,4671505,600
1614961800,4759523,600
1614962400,4414890,600
1614963000,4428814,600
1614963600,4299258,600
1614964200,4416812,600
1614964800,4220417,600
1614965400,4325993,600
1614966000,4277732,600
1614966600,4242315,600
1614967200,4344555,600
1614967800,4455815,600
1614968400,4888421,600
1614969000,16329504,600
1614969600,5943976,600
1614970200,4579140,600
1614970800,4413869,600
1614971400,5050633,600
1614972000,5139236,600
1614972600,5512698,600
1614973200,4450811,600
1614973800,4743280,600
1614974400,5218370,600
1614975000,5132430,600
1614975600,5229022,600
1614976200,4809784,600
1614976800,4767329,600
1614977400,4643370,600
1614978000,4751121,600
1614978600,4822973,600
1614979200,4897075,600
1614979800,4337554,600
1614980400,5094415,600
1614981000,4700543,600
1614981600,4437557,600
1614982200,4699295,600
1614982800,4621082,600
1614983400,4627400,600
1614984000,4634351,600
1614984600,4257976,600
1614985200,4509221,600
1614985800,4331633,600
1614986400,4639159,600
1614987000,4659452,600
1614987600,4695242,600
1614988200,4650015,600
1614988800,4588960,600
1614989400,4576622,600
1614990000,4972731,600
1614990600,5282305,600
1614991200,5244667,600
1614991800,5071933,600
1614992400,5230040,600
1614993000,4969239,600
1614993600,5405543,600
1614994200,5297085,600
1614994800,5623023,600
1614995400,4373259,600
1614996000,5693374,600
1614996600,5236047,600
1614997200,5458815,600
1614997800,5543333,600
1614998400,5516527,600
1614999000,6307350,600
1614999600,5885083,600
1615000200,5517870,600
