"_time","sum(counts)","_span"
1613229000,3804490,600
1613229600,3949803,600
1613230200,3793781,600
1613230800,3901692,600
1613231400,3885237,600
1613232000,3943420,600
1613232600,3801797,600
1613233200,3771557,600
1613233800,3691277,600
1613234400,3663403,600
1613235000,3575211,600
1613235600,3670720,600
1613236200,3570885,600
1613236800,3480891,600
1613237400,3980810,600
1613238000,4840272,600
1613238600,4725138,600
1613239200,4258791,600
1613239800,4239346,600
1613240400,3810390,600
1613241000,3408737,600
1613241600,3319860,600
1613242200,3617797,600
1613242800,3459681,600
1613243400,3238849,600
1613244000,3383860,600
1613244600,3309600,600
1613245200,3266617,600
1613245800,3393264,600
1613246400,3239359,600
1613247000,3291075,600
1613247600,3830511,600
1613248200,3382098,600
1613248800,3320796,600
1613249400,3179976,600
1613250000,3137505,600
1613250600,3303113,600
1613251200,3129819,600
1613251800,3478632,600
1613252400,3209532,600
1613253000,3266202,600
1613253600,3266612,600
1613254200,3396750,600
1613254800,3205549,600
1613255400,3267565,600
1613256000,3227365,600
1613256600,3281379,600
1613257200,3384754,600
1613257800,3216790,600
1613258400,3189002,600
1613259000,3355987,600
1613259600,3364552,600
1613260200,3530337,600
1613260800,3450644,600
1613261400,3440863,600
1613262000,3390477,600
1613262600,3459435,600
1613263200,3435010,600
1613263800,3517047,600
1613264400,3605476,600
1613265000,7021873,600
1613265600,4341470,600
1613266200,5515735,600
1613266800,3733225,600
1613267400,3831196,600
1613268000,3842490,600
1613268600,3854291,600
1613269200,4329651,600
1613269800,4124411,600
1613270400,3979608,600
1613271000,4215110,600
1613271600,4119589,600
1613272200,4106994,600
1613272800,3920464,600
1613273400,4041354,600
1613274000,4159399,600
1613274600,4102422,600
1613275200,4186617,600
1613275800,4118923,600
1613276400,4111706,600
1613277000,3918057,600
1613277600,3880415,600
1613278200,3913829,600
1613278800,4202592,600
1613279400,3976480,600
1613280000,3782996,600
1613280600,3898100,600
1613281200,3917094,600
1613281800,3909831,600
1613282400,4012779,600
1613283000,4105200,600
1613283600,3987809,600
1613284200,4005794,600
1613284800,4015394,600
1613285400,4124002,600
1613286000,3975908,600
1613286600,4063435,600
1613287200,3963667,600
1613287800,4350275,600
1613288400,4880758,600
1613289000,4194946,600
1613289600,4057904,600
1613290200,3970695,600
1613290800,4002470,600
1613291400,4076301,600
1613292000,4116536,600
1613292600,3992012,600
1613293200,4399128,600
1613293800,3990230,600
1613294400,3930502,600
1613295000,3671866,600
1613295600,3819995,600
1613296200,3800266,600
1613296800,3800928,600
1613297400,3808484,600
1613298000,3799841,600
1613298600,3828314,600
1613299200,3758994,600
1613299800,3716067,600
1613300400,3834619,600
1613301000,3789137,600
1613301600,3810689,600
1613302200,3738059,600
1613302800,3716003,600
1613303400,3660556,600
1613304000,6722476,600
1613304600,3786692,600
1613305200,3817542,600
1613305800,3636437,600
1613306400,3593458,600
1613307000,3677624,600
1613307600,3507490,600
1613308200,3544244,600
1613308800,3532013,600
1613309400,3255400,600
1613310000,3548490,600
1613310600,3505379,600
1613311200,3486023,600
1613311800,3582619,600
1613312400,3449918,600
1613313000,3530365,600
1613313600,3488432,600
1613314200,3241086,600
1613314800,3490621,600
1613315400,3562119,600
1613316000,3499406,600
1613316600,4175482,600
1613317200,3500407,600
1613317800,3422119,600
1613318400,3579247,600
1613319000,3628544,600
1613319600,3537076,600
1613320200,3458287,600
1613320800,3384634,600
1613321400,3320456,600
1613322000,3314814,600
1613322600,3262854,600
1613323200,3212207,600
